acpi 1.7-3
alacritty 0.11.0-2
alltray 0.7.5.1dev-7
alsa-utils 1.2.8-1
arc-icon-theme-full-git 1.0.r114.gbfce0c2-1
archlinux-keyring 20221220-1
autoconf 2.71-1
automake 1.16.5-1
awesome-git 4.3.1586.gee0663459-1
baobab 43.0-1
base 3-1
bat 0.22.1-1
batstat-git r14.c04f124-1
bc 1.07.1-4
bind 9.18.10-1
binutils 2.40-2
bison 3.8.2-4
btop 1.2.13-1
cloc 1.96-1
cmake 3.25.2-1
copyq 6.4.0-1
debugedit 5.0-4
deno 1.29.4-1
dnsmasq 2.88-1
drawing 1.0.1-1
dunst 1.9.0-1
efibootmgr 18-1
evtest 1.35-1
exa 0.10.1-6
fakeroot 1.30.1-1
fd 8.6.0-1
feh 3.9.1-2
ffmpegthumbnailer 2.2.2-4
file 5.44-1
findutils 4.9.0-2
firefox 109.0-1
fish 3.6.0-1
flameshot 12.1.0-1
fzf 0.37.0-1
fzy 1.0-2
gawk 5.2.1-1
gcc 12.2.1-1
gedit 44.2-1
gettext 0.21.1-2
ghc 9.0.2-2
git 2.39.1-1
git-delta 0.15.1-1
github-cli 2.22.0-1
go 2:1.19.5-1
google-chrome 109.0.5414.74-1
gopls 0.11.0-1
gparted 1.4.0-1
gpick 0.3-1
gpointing-device-settings 1.5.1-5
graphicsmagick 1.3.40-1
grep 3.8-2
groff 1.22.4-7
gzip 1.12-1
htop 3.2.1-1
httpie 3.2.1-1
hyperfine 1.15.0-1
ibus-bamboo 0.8.2_RC3-1
imv 4.4.0-1
imwheel 1.0.0pre12-6
intel-media-driver 23.1.0-1
intel-ucode 20221108-1
iwd 2.2-1
jq 1.6-4
jre-openjdk 19.0.2.u7-2
kitty 0.26.5-1
kmonad-bin 0.4.1-4
lazygit 0.36.0-1
libreoffice-fresh 7.4.5-1
libtool 2.4.7+4+g1ec8fa28-1
libva-utils 2.17.1-1
libvdpau-va-gl 0.4.2-3
linux 6.1.8.arch1-1
linux-firmware 20230117.7e4f0ed-1
lsd 0.23.1-1
lshw B.02.19.2-5
lxappearance-gtk3 0.6.3-4
m4 1.4.19-2
make 4.4-1
megacmd 1.5.1-2
mesa-utils 8.5.0-2
mp3splt 2.6.2-3
mpv 1:0.35.0-5
neofetch 7.1.0-2
neovim 0.8.2-1
network-manager-applet 1.30.0-1
networkmanager 1.40.12-1
nodejs-lts-gallium 16.19.0-1
noto-fonts 20220810-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
openssl-1.1 1.1.1.s-4
openvpn 2.5.8-2
pacman 6.0.2-5
pacman-contrib 1.8.2-1
pandoc-bin 2.19.2-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pkgconf 1.8.0-1
powertop 2.15-1
pulseaudio 16.1-3
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-equalizer 16.1-3
pulseaudio-jack 16.1-3
python-pip 22.3.1-1
python-pyalsa 1.2.7-1
qalculate-gtk 4.5.1-1
qbittorrent 4.5.0-1
